"","predMonthlyIncomes","ID"
"1",6070.05841654228,871
"2",2160.22263663582,872
"3",14167.8168549231,873
"4",2156.04933979498,874
"5",2077.42662793114,875
"6",7068.74150293911,876
"7",5832.54149485703,877
"8",2027.46991322304,878
"9",2128.97058751318,879
"10",15012.3674661203,880
"11",11176.0438353637,881
"12",2453.45681474396,882
"13",6016.92721208632,883
"14",5935.06846925481,884
"15",6512.23910188009,885
"16",5974.37982518672,886
"17",5936.56667989428,887
"18",6207.92170266909,888
"19",6204.89778837549,889
"20",2242.08137946733,890
"21",6145.50663865826,891
"22",9624.73049384015,892
"23",9768.36818571785,893
"24",6016.92721208632,894
"25",11244.5821332176,895
"26",10088.0926783268,896
"27",10097.8759414282,897
"28",14092.5192082614,898
"29",5982.93853554249,899
"30",2433.22644550438,900
"31",2433.22644550438,901
"32",6565.37030633606,902
"33",6598.33268277226,903
"34",2622.78426666749,904
"35",14668.8892864317,905
"36",5912.7514515948,906
"37",10706.2234529778,907
"38",6127.3629178391,908
"39",2104.50538021294,909
"40",2128.40964274688,910
"41",18485.133123403,911
"42",2387.65514431119,912
"43",2438.04972134598,913
"44",10117.3196202489,914
"45",6228.15207190867,915
"46",5750.18334847903,916
"47",2203.85786486286,917
"48",5871.35344724246,918
"49",1989.74580216505,919
"50",2874.46986496901,920
"51",2182.04025074934,921
"52",2020.55998896101,922
"53",6208.42110621558,923
"54",6380.63576101456,924
"55",15172.7598865812,925
"56",2427.96530733609,926
"57",6090.78818932836,927
"58",10233.7279843905,928
"59",1897.30324177716,929
"60",2409.9721619712,930
"61",6248.59455782233,931
"62",9997.23736281288,932
"63",9929.34904395969,933
"64",2254.25244189764,934
"65",2082.18836255294,935
"66",2249.92856960253,936
"67",10621.1286791786,937
"68",10583.9039716671,938
"69",6507.97677080479,939
"70",2097.59545595092,940
"71",2862.2988025387,941
"72",10021.6410288933,942
"73",10468.9186479666,943
"74",5989.78691858471,944
"75",1952.02169110706,945
"76",6032.3343054843,946
"77",2035.96708235899,947
"78",1864.90181010727,948
"79",2178.86576100148,949
"80",5821.30769829989,950
"81",2460.86614255248,951
"82",5770.9131212651,952
"83",6223.97877506783,953
"84",2288.30265966128,954
"85",6169.26032573793,955
"86",9977.00699357329,956
"87",11875.3833738454,957
"88",2102.32969755806,958
"89",10630.4740799533,959
"90",18803.1952009397,960
"91",2101.33089046508,961
"92",5806.55058390267,962
"93",6438.43966585786,963
"94",6374.87521929978,964
"95",2073.69119341698,965
"96",18080.8886657972,966
"97",1863.31456523333,967
"98",9913.94195056171,968
"99",15461.6086511744,969
"100",2114.00135644188,970
"101",5962.20876275641,971
"102",6062.06065095282,972
"103",2312.20692219522,973
"104",2128.40964274688,974
"105",5796.40462867297,975
"106",1979.66138815516,976
"107",7020.43357432475,977
"108",2010.97497849761,978
"109",10070.1610741817,979
"110",18558.781983971,980
"111",1933.93951150771,981
"112",10374.1157812644,982
"113",2433.22644550438,983
"114",2250.57854860329,984
"115",6034.92035745121,985
"116",2462.45338742641,986
"117",2130.4962911673,987
"118",6091.72545520153,988
"119",10020.7653042399,989
"120",2113.50195289539,990
"121",6559.60976462129,991
"122",2156.04933979498,992
"123",6183.73015326274,993
"124",6159.11437050823,994
"125",5941.97839351683,995
"126",6347.94704247225,996
"127",2098.09485949741,997
"128",14672.9258718544,998
"129",10039.7847497125,999
"130",1758.63940119533,1000
"131",6758.16415846685,1001
"132",6128.30018371227,1002
"133",6216.13158493263,1003
"134",7053.98438854189,1004
"135",2318.0290051298,1005
"136",6294.6037213422,1006
"137",2150.72666040689,1007
"138",6122.88847008972,1008
"139",18527.0305313018,1009
"140",6432.17972059659,1010
"141",10581.1673442459,1011
"142",6558.95978562053,1012
"143",6203.96052250232,1013
"144",6244.7085478539,1014
"145",5874.43890275586,1015
"146",2057.69566223805,1016
"147",2485.42038408717,1017
"148",9929.34904395969,1018
"149",10008.9705629165,1019
"150",2029.05715809697,1020
"151",6178.40747387464,1021
"152",6282.87052123857,1022
"153",5972.64200485853,1023
"154",10561.0123802623,1024
"155",14396.9733188906,1025
"156",18175.9924483504,1026
"157",6375.81248517295,1027
"158",5963.79600763035,1028
"159",6007.28066040311,1029
"160",10589.0899396371,1030
"161",5989.78691858471,1031
"162",2485.42038408717,1032
"163",9829.99655930977,1033
"164",2128.40964274688,1034
"165",6211.80771263752,1035
"166",1989.74580216505,1036
"167",5662.56406393274,1037
"168",10108.6718756586,1038
"169",9917.46526840179,1039
"170",5934.48003147385,1040
"171",1918.53241810973,1041
"172",2415.73270368597,1042
"173",9931.43569238011,1043
"174",6500.43073157813,1044
"175",2048.19968600911,1045
"176",2128.40964274688,1046
"177",6135.86008697505,1047
"178",10008.9705629165,1048
"179",2145.96492578509,1049
"180",6034.27037845045,1050
"181",10852.2214511698,1051
"182",2130.55783238711,1052
"183",6114.04247286154,1053
"184",2325.37679171851,1054
"185",2367.42477507161,1055
"186",2417.81935210639,1056
"187",6179.34473974782,1057
"188",14046.1473526132,1058
"189",6726.41270579771,1059
"190",2334.52393985522,1060
"191",6344.71101150458,1061
"192",6022.24989147441,1062
"193",6376.02460184703,1063
"194",2111.41530447497,1064
"195",6504.3919117449,1065
"196",2188.95017501136,1066
"197",3323.27318769643,1067
"198",18297.586780462,1068
"199",5950.47556265279,1069
"200",2199.53399256774,1070
"201",2256.83849386456,1071
"202",6219.3676159003,1072
"203",1857.99188584524,1073
"204",6066.23394779366,1074
"205",6091.07547620077,1075
"206",14389.4888208837,1076
"207",18327.5388715831,1077
"208",5905.90306855258,1078
"209",6233.62532675103,1079
"210",6567.36792052202,1080
"211",2574.47633805312,1081
"212",2241.58197592084,1082
"213",2005.15289556303,1083
"214",6518.86173926971,1084
"215",9623.29382442048,1085
"216",10310.7634513804,1086
"217",6019.01386050674,1087
"218",2466.12728072076,1088
"219",2288.30265966128,1089
"220",5909.07755830045,1090
"221",5946.80166935843,1091
"222",6171.55909083243,1092
"223",9775.27810997987,1093
"224",6012.6033397912,1094
"225",5986.11302529035,1095
"226",6188.99129143102,1096
"227",3192.60711270407,1097
"228",2274.98221468372,1098
"229",2377.07132675481,1099
"230",6059.9740025324,1100
"231",17792.4162223109,1101
"232",6206.48503324943,1102
"233",6460.90725897213,1103
"234",11767.034316513,1104
"235",2365.83753019767,1105
"236",2286.71541478735,1106
"237",2229.91031703702,1107
"238",6461.84452484531,1108
"239",5792.73073537862,1109
"240",5818.72164633298,1110
"241",6312.30957983468,1111
"242",10343.4521699227,1112
"243",10165.476973409,1113
"244",6853.19277082164,1114
"245",10388.647150009,1115
"246",2209.67994779744,1116
"247",6921.08108967484,1117
"248",6231.53867833061,1118
"249",10988.0732590745,1119
"250",2192.18620597904,1120
"251",10449.9128314726,1121
"252",15025.1885075514,1122
"253",6198.63784311423,1123
"254",14163.1441545358,1124
"255",1906.29981445961,1125
"256",2161.31047796327,1126
"257",2224.58763764893,1127
"258",6138.44613894196,1128
"259",14097.342484103,1129
"260",2133.73232213497,1130
"261",10091.1165926204,1131
"262",13955.9420161,1132
"263",6183.23074971625,1133
"264",2226.17488252286,1134
"265",2509.17407116684,1135
"266",2349.9310332532,1136
"267",2988.14160168947,1137
"268",6231.53867833061,1138
"269",10195.504469786,1139
"270",13595.2573814654,1140
"271",5892.58262357502,1141
"272",6123.68902454474,1142
"273",10919.2476743481,1143
"274",5910.66480317438,1144
"275",6481.13762821172,1145
"276",5929.15735208576,1146
"277",6005.69341552918,1147
"278",2261.16236615967,1148
"279",2203.85786486286,1149
"280",6220.95486077423,1150
"281",2149.13941553296,1151
"282",6173.58419803304,1152
"283",6809.55754259461,1153
"284",1958.93161536909,1154
"285",6165.14857011689,1155
"286",14504.8229726764,1156
"287",2345.1077574116,1157
"288",6832.46299803557,1158
"289",2164.54650893094,1159
"290",6140.0333838159,1160
"291",2178.36635745499,1161
"292",10225.4565609071,1162
"293",2212.91597876511,1163
"294",10202.202277374,1164
"295",2330.85004656087,1165
"296",1981.24863302909,1166
"297",9886.21321927915,1167
"298",5911.16420672087,1168
"299",2272.8955662633,1169
"300",2084.33655219317,1170
